information,source_file_name,page_number
"Contents
DSM-5 Classification. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . xiii
Preface . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .xli
 Section I
DSM-5 Basics
Introduction . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .5
Use of the Manual . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .19
Cautionary Statement for Forensic Us e of DSM-5 . . . . . . . . . . . .25
 Section II
Diagnostic Criteria and Codes
Neurodevelopmental Disorders . . . . . . . . . . . . . . . . . . . . . . . . . . .31
Schizophrenia Spectrum and Other Psychotic Disorders . . . . . .87
Bipolar and Related Disorders . . . . . . . . . . . . . . . . . . . . . . . . . . .123
Depressive Disorders  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .155
Anxiety Disorders. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .189
Obsessive-Compulsive and Re lated Disorders  . . . . . . . . . . . . .235
Trauma- and Stressor-Related Disorders .  . . . . . . . . . . . . . . . . .265
Dissociative Disorders  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .291
Somatic Symptom and Related Disorders  . . . . . . . . . . . . . . . . .309
Feeding and Eating Disorders  . . . . . . . . . . . . . . . . . . . . . . . . . . .329
Elimination Disorders  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .355
Sleep-Wake Disorders. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .361
Sexual Dysfunctions . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .423
Gender Dysphoria . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .451",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,6
"Disruptive, Impulse-Control, and Con duct Disorders . . . . . . . . 461
Substance-Related and Addictive Disord ers . . . . . . . . . . . . . . . 481
Neurocognitive Disorders. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 591
Personality Disorders . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 645
Paraphilic Disorders . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 685
Other Mental Disorders  . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 707
Medication-Induced Movement Disorders 
and Other Adverse Effects of  Medication  . . . . . . . . . . . . . . . . 709
Other Conditions That May Be a Fo cus of Clinical Attention . . 715
 Section III
Emerging Measures and Models
Assessment Measures . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 733
Cultural Formulation . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 749
Alternative DSM-5 Model for Personality Disorder s . . . . . . . . . 761
Conditions for Further Study . . . . . . . . . . . . . . . . . . . . . . . . . . . . 783
 Appendix
Highlights of Ch anges From DSM-IV to DSM-5 . . . . . . . . . . . . . 809
Glossary of Technical Terms . . . . . . . . . . . . . . . . . . . . . . . . . . . . 817
Glossary of Cultural Concepts of Dist ress . . . . . . . . . . . . . . . . . 833
Alphabetical Listing of DSM-5 Diagno ses and Codes 
(ICD-9-CM and ICD-10-CM). . . . . . . . . . . . . . . . . . . . . . . . . . . . 839
Numerical Listing of DS M-5 Diagnoses and Codes
 (ICD-9-CM) . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 863
Numerical Listing of DS M-5 Diagnoses and Codes
 (ICD-10-CM) . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 877
DSM-5 Advisors and Other Contributors  . . . . . . . . . . . . . . . . . . 897
Index . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 917",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,7
"Task Force Chair
DARREL  A. R EGIER , M.D., M.P.H",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,8
"Task Force Vice-Chair
William E. Narrow, M.D., M.P.H., 
Research DirectorSusan K. Schultz, M.D., Text Editor
Emily A. Kuhl, Ph.D., APA Text Editor
Dan G. Blazer, M.D., Ph.D., M.P.H",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,8
"Bridget F. Grant, Ph.D., Ph.D. (2009–)
Steven E. Hyman, M.D. (2007–2012)
Dilip V. Jeste, M.D. (2007–2011)
Helena C. Kraemer, Ph.D",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,8
"B. Timothy Walsh, M.D. 
Philip Wang, M.D., Dr.P.H. (2007–2012)
William M. Womack, M.D",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,8
"Kenneth J. Zucker, Ph.D. 
Norman Sartorius, M.D., Ph.D., Consultant
APA Division of Research Staff on DSM-5
Darrel A. Regier, M.D., M.P.H., 
Director, Division of Research
William E. Narrow, M.D., M.P.H., 
Associate Director
Emily A. Kuhl, Ph.D., Senior Science 
Writer; Staff Text Editor
Diana E. Clarke, Ph.D., M.Sc., Research 
Statistician
Lisa H. Greiner, M.S.S.A., DSM-5 Field 
Trials Project Manager
Eve K. Moscicki, Sc.D., M.P.H., 
Director, Practice Research Network
S. Janet Kuramoto, Ph.D. M.H.S., 
Senior Scientific Research Associate, 
Practice Research Network
Amy Porfiri, M.B.A. 
Director of Finance and AdministrationJennifer J. Shupinka, Assistant Director, 
DSM Operations
Seung-Hee Hong, DSM Senior Research 
Associate
Anne R. Hiller, DSM Research Associate
Alison S. Beale, DSM Research Associate
Spencer R. Case, DSM Research Associate
Joyce C. West, Ph.D., M.P.P., 
Health Policy Research Director, Practice 
Research Network
Farifteh F. Duffy, Ph.D., 
Quality Care Research Director, Practice 
Research Network
Lisa M. Countis, Field Operations 
Manager, Practice Research Network
Christopher M. Reynolds, 
Executive Assistant
APA Office of the Medical Director
JAMES  H. S CULLY  JR., M.D",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,8
"Editorial and Coding Consultants
Michael B. First, M.D. Maria N. Ward, M.Ed., RHIT, CCS-P
DSM-5 Work Groups
ADHD and Disruptive Behavior Disorders
DAVID  SHAFFER , M.D",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,9
"Co-Chair
Paul J. Frick, Ph.D., Text Coordinator  
Glorisa Canino, Ph.D. 
Terrie E. Moffitt, Ph.D. 
Joel T. Nigg, Ph.D. Luis Augusto Rohde, M.D., Sc.D",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,9
"Richard Todd, Ph.D., M.D. (d. 2008)
Anxiety, Obsessive-Compulsive Spectrum, Posttraumatic, 
and Dissociative Disorders
KATHARINE  A. P HILLIPS , M.D",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,9
"Chair
Michelle G. Craske, Ph.D., Text 
Coordinator
J. Gavin Andrews, M.D",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,9
"Eating Disorders
B. T IMOTHY  WALSH , M.D. 
Chair
Stephen A. Wonderlich, Ph.D., 
Text Coordinator
Evelyn Attia, M.D",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,9
"Chair
Ellen Frank, Ph.D., Text Coordinator
Jules Angst, M.D. (2007–2008)
William H. Coryell, M.D",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,10
"James S. Jackson, Ph.D.Kenneth S. Kendler, M.D. 
(2007–2010)
Mario Maj, M.D., Ph.D",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,10
"Neurocognitive Disorders
DILIP V. J ESTE , M.D. (2007–2011)
Chair Emeritus
DAN G. B LAZER , M.D., P H.D., M.P.H",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,10
"Co-Chair
Mary Ganguli, M.D., M.P.H., 
Text Coordinator
Deborah Blacker, M.D., Sc.D",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,10
"Neurodevelopmental Disorders
SUSAN  E. S WEDO , M.D. 
Chair
Gillian Baird, M.A., M.B., B.Chir., 
Text Coordinator
Edwin H. Cook Jr., M.D",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,10
"Personality and Personality Disorders1
ANDREW  E. S KODOL , M.D",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,10
"Co-Chair 
Robert F. Krueger, Ph.D., Text 
Coordinator
Renato D. Alarcon, M.D., M.P.H",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,10
"W. John Livesley, M.D., Ph.D. (2007–2012)
Leslie C. Morey, Ph.D",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,10
"Roel Verheul, Ph.D. (2008–2012)
1The members of the Personality and Personality Disorders Work Group are responsible for the
alternative DSM-5 model for personality disorders that is included in Section III. The Section II
personality disorders criteria and text (with upda ting of the text) are retained from DSM-IV-TR.",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,10
"Chair
Deanna M. Barch, Ph.D., Text 
Coordinator
Juan R. Bustillo, M.D",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,11
"Sexual and Gender Identity Disorders 
KENNETH  J. Z UCKER , PH.D",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,11
"Chair 
Lori Brotto, Ph.D., Text Coordinator
Irving M. Binik, Ph.D",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,11
"Chair
Ruth M. O’Hara, Ph.D., Text Coordinator
Charles M. Morin, Ph.D",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,11
"Chair
James L. Levenson, M.D., Text 
Coordinator
Arthur J. Barsky III, M.D",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,11
"Substance-Related Disorders
CHARLES  P. O’B RIEN , M.D., P H.D",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,11
"Co-Chair 
Wilson M. Compton, M.D., M.P.E., 
Text Coordinator
Marc Auriacombe, M.D",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,11
"Deborah S. Hasin, Ph.D.Thomas R. Kosten, M.D. (2007–2008)
Walter Ling, M.D",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,11
"Spero M. Manson, Ph.D. (2007-2008)
A. Thomas McLellan, Ph.D. (2007–2008)
Nancy M. Petry, Ph.D",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,11
"DSM-5 Study Groups
Diagnostic Spect ra and DSM/ICD Harmonization
STEVEN  E. H YMAN , M.D",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,12
"Gender and Cross-Cultural Issues
KIMBERLY  A. Y ONKERS , M.D",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,12
"Spiro M. Manson, Ph.D. (2007–2008)
James P. McNulty, A.B., Sc.B.Leslie C. Morey, Ph.D",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,12
"Dilip V. Jeste, M.D. (2007–2011)
Walter E. Kaufmann, M.D.Richard E. Kreipe, M.D",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,12
"Diagnostic Assessm ent Instruments
JACK D. B URKE  JR., M.D., M.P.H",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,13
"DSM-5 Research Group
WILLIAM  E. N ARROW , M.D., M.P.H",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,13
"Norman Sartorius, M.D., Ph.D., 
Consultant
Susan K. Schultz, M.D.Dan J. Stein, M.D., Ph.D",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,13
"xiiiDSM-5
 Classification
Before each disorder name, ICD-9-CM code s are provided, followe d by ICD-10-CM codes
in parentheses. Blank lines indicate that eith er the ICD-9-CM or the ICD-10-CM code is not
applicable. For some disorders,  the code can be indicated only according to the subtype or
specifier",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,14
"ICD-9-CM codes are to be used for coding purposes in the United States through Sep-
tember 30, 2014. ICD-10-CM codes are to be used starting October 1, 2014",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,14
"Following chapter titles and disorder name s, page numbers for the corresponding text
or criteria are incl uded in parentheses",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,14
"Note for all mental disorders due to another medical condition:  Indicate the name of
the other medical condition in the name of th e mental disorder due to [the medical condi-
tion]. The code and name for the other medica l condition should be listed first immedi-
ately before the mental disorder  due to the medical condition",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,14
"Neurodevelopmental Disorders  (31)
Intellectual Disabilities (33)
___.__ (___.__) Intellectual Disability (Intelle ctual Developmental Disorder) (33)
Specify  current severity:
317 (F70) Mild
318.0 (F71) Moderate
318.1 (F72) Severe
318.2 (F73) Profound
315.8 (F88) Global Developmental Delay (41)
319 (F79) Unspecified Intellectual Disability (Intellectual Developmental 
Disorder) (41)
Communication Disorders (41)
315.32 (F80.2) Language Disorder (42)
315.39 (F80.0) Speech Sound Disorder (44)
315.35 (F80.81) Childhood-Onset Fluency Disorder (Stuttering) (45)
Note:  Later-onset cases are diagnosed as 307.0 (F98.5) adult-onset fluency
disorder",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,14
"315.39 (F80.89) Social (Pragmatic) Communication Disorder (47)
307.9 (F80.9) Unspecified Communication Disorder (49)",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,14
"xiv DSM-5 Classification
Autism Spectrum Disorder (50)
299.00 (F84.0) Autism Spectrum Disorder (50)
Specify  if: Associated with a known medic al or genetic condition or envi-
ronmental factor; Associ ated with another neurodevelopmental, men-
tal, or behavioral disorder
Specify  current severity for Criterion A and Criterion B: Requiring very
substantial support, Requiring substantial support, Requiring support
Specify  if: With or without accompanyi ng intellectual impairment, With
or without accompanying language  impairment, With catatonia (use
additional code 293.89 [F06.1])
Attention-Deficit/Hyperactivity Disorder (59)
___.__  (___.__) Attention-Deficit/Hyperactivity Disorder (59)
Specify  whether:
314.01  (F90.2) Combined presentation
314.00  (F90.0) Predominantly inattentive presentation
314.01  (F90.1) Predominantly hyperactive/impulsive presentation
Specify  if: In partial remission
Specify  current severity: Mild, Moderate, Severe
314.01  (F90.8) Other Specified Attention-Deficit/Hyperactivity Disorder (65)
314.01  (F90.9) Unspecified Attention-Deficit/Hyperactivity Disorder (66)
Specific Learning Disorder (66)
___.__ (___.__) Specific Learning Disorder (66)
Specify  if:
315.00 (F81.0) With impairment in reading (specify  if with word reading 
accuracy, reading rate or fluency, reading comprehension)
315.2 (F81.81) With impairment in written expression ( specify  if with spelling 
accuracy, grammar and punctu ation accuracy, clarity or 
organization of written expression)
315.1 (F81.2) With impairment in mathematics ( specify  if with number sense, 
memorization of arithmetic facts, accurate or fluent 
calculation, accurate math reasoning)
Specify  current severity: Mild, Moderate, Severe
Motor Disorders (74)
315.4 (F82) Developmental Coordination Disorder  (74)
307.3 (F98.4) Stereotypic Movement Disorder (77)
Specify  if: With self-injurious behavior , Without self-injurious behavior
Specify  if: Associated with a known medical or genetic condition, neuro-
developmental disorder, or environmental factor
Specify  current severity: Mild, Moderate, Severe
Tic Disorders
307.23  (F95.2) Tourette's Disorder (81)
307.22  (F95.1) Persistent (Chronic) Motor or Vocal Tic Disorder (81)
Specify  if: With motor tics only, With vocal tics only",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,15
"DSM-5 Classification xv
307.21  (F95.0) Provisional Tic Disorder (81)
307.20  (F95.8) Other Specified Tic Disorder (85)
307.20  (F95.9) Unspecified Tic Disorder (85)
Other Neurodevelopmental Disorders (86)
315.8 (F88) Other Specified Neurodevelopmental Disorder (86)
315.9 (F89) Unspecified Neurodevelopmental Disorder (86)
Schizophrenia Spectrum 
and Other Psychotic Disorders (87)
The following specifiers apply to Schizophre nia Spectrum and Othe r Psychotic Disorders
where indicated:
aSpecify  if: The following course specifiers are only to be used after a 1-year duration of the dis-
order: First episode, currently in acute episode; First episode, currently in partial remission;
First episode, currently in full remission; Multiple episodes, currently in acute episode; Mul-
tiple episodes, currently in partial remission; Multiple episodes, currently in full remission;
Continuous; Unspecified
bSpecify  if: With catatonia (use additional code 293.89 [F06.1])
cSpecify  current severity of delusions, hallucinations, disorganized speech, abnormal psycho-
motor behavior, negative symptoms, impaired  cognition, depression, and mania symptoms
301.22  (F21) Schizotypal (Personality) Disorder (90)
297.1  (F22) Delusional Disordera, c (90)
Specify  whether: Erotomanic type, Grandiose type, Jealous type, Persecu-
tory type, Somatic type, Mi xed type, Unspecified type
Specify  if: With bizarre content
298.8  (F23) Brief Psychotic Disorderb, c (94)
Specify  if: With marked stressor(s), Without marked stressor(s), With
postpartum onset
295.40  (F20.81) Schizophreniform Disorderb, c (96)
Specify  if: With good prognostic featur es, Without good prognostic fea-
tures
295.90  (F20.9) Schizophreniaa, b, c (99)
___.__  (___.__) Schizoaffective Disordera, b, c (105)
Specify  whether:
295.70  (F25.0) Bipolar type
295.70  (F25.1) Depressive type
___.__  (___.__) Substance/Medication-Ind uced Psychotic Disorderc (110)
Note:  See the criteria set and corresponding recording procedures for
substance-specific codes and ICD-9-CM and ICD-10-CM coding",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,16
"Specify  if: With onset during intoxicatio n, With onset during withdrawal
___.__  (___.__) Psychotic Disorder Due to Another Medical Conditionc (115)
Specify  whether:
293.81  (F06.2) With delusions
293.82  (F06.0) With hallucinations",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,16
"xvi DSM-5 Classification
293.89  (F06.1) Catatonia Associated With Anothe r Mental Disorder (Catatonia 
Specifier) (119)
293.89  (F06.1) Catatonic Disorder Due to Another Medical Condition (120)
293.89  (F06.1) Unspecified Catatonia  (121)
Note:  Code first 781.99 (R29.818)  other symptoms involving nervous and
musculoskeletal systems",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,17
"298.8  (F28) Other Specified Schizophrenia Spectrum and Other Psychotic 
Disorder (122)
298.9  (F29) Unspecified Schizophrenia Spectrum and Other Psychotic 
Disorder (122)
Bipolar and Related Disorders  (123)
The following specifiers apply to Bipolar and Related Disorders where indicated:
aSpecify:  With anxious distress ( specify  current severity: mild, modera te, moderate-severe, severe);
With mixed features; With rapid cycling; With melancholic features; With atypical features;
With mood-congruent psychotic features; With  mood-incongruent psychotic features; With
catatonia (use additional code 293.89 [F06.1]); With peripartum onset; With seasonal pattern
___.__  (___.__) Bipolar I Disordera (123)
___.__ (___.__) Current or most recent episode manic
296.41  (F31.11) Mild
296.42  (F31.12) Moderate
296.43  (F31.13) Severe
296.44  (F31.2) With psychotic features
296.45  (F31.73) In partial remission
296.46  (F31.74) In full remission
296.40  (F31.9) Unspecified
296.40  (F31.0) Current or most recent episode hypomanic
296.45  (F31.71) In partial remission
296.46  (F31.72) In full remission
296.40  (F31.9) Unspecified
___.__  (___.__) Current or most recent episode depressed
296.51  (F31.31) Mild
296.52  (F31.32) Moderate
296.53  (F31.4) Severe
296.54  (F31.5) With psychotic features
296.55  (F31.75) In partial remission
296.56  (F31.76) In full remission
296.50  (F31.9) Unspecified
296.7  (F31.9) Current or most recent episode unspecified
296.89  (F31.81) Bipolar II Disordera (132)
Specify  current or most recent ep isode: Hypomanic, Depressed
Specify  course if full criteria for a mood episode are not currently met: In
partial remission, In full remission
Specify  severity if full criteria for a mood episode are currently met:
Mild, Moderate, Severe",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,17
"DSM-5 Classification xvii
301.13  (F34.0) Cyclothymic Disorder (139)
Specify  if: With anxious distress
___.__  (___.__) Substance/Medication-Induced Bipo lar and Related Disorder (142)
Note:  See the criteria set and corresponding recording procedures for
substance-specific codes and ICD-9-CM and ICD-10-CM coding",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,18
"Specify  if: With onset during intoxicatio n, With onset during withdrawal
293.83  (___.__) Bipolar and Related Disorder Due to Another Medical Condition 
(145)
Specify  if: 
(F06.33) With manic features
(F06.33) With manic- or hypomanic-like episode
(F06.34) With mixed features
296.89  (F31.89) Other Specified Bipolar and Related Disorder (148)
296.80  (F31.9) Unspecified Bipolar and Related Disorder (149)
Depressive Disorders  (155)
The following specifiers apply to Depressive Disorders where indicated:
aSpecify:  With anxious distress ( specify  current severity: mild, moderate, moderate-severe,
severe); With mixed features; With melancholic features; With atypical  features; With mood-
congruent psychotic features; With mood-incongruent psych otic features; Wi th catatonia
(use additional code 293.89 [F06.1]); With peripartum on set; With seasonal pattern
296.99  (F34.8) Disruptive Mood Dysregulation Disorder (156)
___.__  (___.__) Major Depressive Disordera (160)
___.__  (___.__) Single episode
296.21  (F32.0) Mild
296.22  (F32.1) Moderate
296.23  (F32.2) Severe
296.24  (F32.3) With psychotic features
296.25  (F32.4) In partial remission
296.26  (F32.5) In full remission
296.20  (F32.9) Unspecified
___.__  (___.__) Recurrent episode
296.31  (F33.0) Mild
296.32  (F33.1) Moderate
296.33  (F33.2) Severe
296.34  (F33.3) With psychotic features
296.35  (F33.41) In partial remission
296.36  (F33.42) In full remission
296.30  (F33.9) Unspecified
300.4  (F34.1) Persistent Depressive Disorder (Dysthymia)a (168)
Specify  if: In partial remission, In full remission
Specify  if: Early onset, Late onset
Specify  if: With pure dysthymic syndrome ; With persistent major depres-
sive episode; With intermittent ma jor depressive epis odes, with current",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,18
"xviii DSM-5 Classification
episode; With intermittent major depressive episodes, without current
episode
Specify  current severity: Mild, Moderate, Severe
625.4  (N94.3) Premenstrual Dysphoric Disorder (171)
___.__  (___.__) Substance/Medication-Induced  Depressive Disorder (175)
Note:  See the criteria set and corresponding recording procedures for
substance-specific codes and IC D-9-CM and ICD-10-CM coding",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,19
"Specify  if: With onset during intoxication, With onset during withdrawal
293.83  (___.__) Depressive Disorder Due to Another Medical Condition (180)
Specify  if: 
(F06.31) With depressive features
(F06.32) With major depressive-like episode
(F06.34) With mixed features
311  (F32.8) Other Specified Depressive Disorder (183)
311  (F32.9) Unspecified Depressive Disorder (184)
Anxiety Disorders  (189)
309.21  (F93.0) Separation Anxiety Disorder (190)
313.23  (F94.0) Selective Mutism (195)
300.29  (___.__) Specific Phobia (197)
Specify  if:
(F40.218) Animal
(F40.228) Natural environment
(___.__) Blood-injection-injury
(F40.230) Fear of blood
(F40.231) Fear of injections and transfusions
(F40.232) Fear of other medical care
(F40.233) Fear of injury
(F40.248) Situational
(F40.298) Other
300.23  (F40.10) Social Anxiety Disorder  (Social Phobia) (202)
Specify  if: Performance only
300.01  (F41.0) Panic Disorder (208)
___.__  (___.__) Panic Attack Specifier (214)
300.22  (F40.00) Agoraphobia (217)
300.02  (F41.1) Generalized Anxiety Disorder (222)
___.__  (___.__) Substance/Medication-Induced  Anxiety Disorder (226)
Note:  See the criteria set and corresponding recording procedures for
substance-specific codes and IC D-9-CM and ICD-10-CM coding",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,19
"Specify  if: With onset during intoxicatio n, With onset during withdrawal,
With onset after medication use",Diagnostic and statistical manual of mental disorders _ DSM-5 ( PDFDrive.com ).pdf,19
